Band,Full_Pittag,Pittag,Capture_Date,Capture_Site,FA_length,Inital_Weight,Weights_For_Group_Assignment,BMI,Sex,Rep_Condition,Status_Sep5,Group_Assignment_Data,Treatment,Group,Notes
DMR03151,APS36011,36011,"4-Aug, 2025",Scott's House,41.77,10.8,12.5,0.299257841,Male,,Self feeding,DMR03151 - BMI: 0.299258 (Male),Dual,GP 2,
DMR03152,APS36021,36021,"4-Aug, 2025",Scott's House,42.72,11.5,22.7,0.531367041,Male,,Self feeding,DMR03152 - BMI: 0.531367 (Male),Primary,GP 2,
DMR03157,APS60118,60118,"6-Aug, 2025",Warriors Mark Farmhouse,45.11,12.8,24.6,0.545333629,Male,,Self feeding,DMR03157 - BMI: 0.545334 (Male),Primary,GP 1,
DMR03158,APS36010,36010,"6-Aug, 2025",Warriors Mark Farmhouse,42.79,11.5,15.3,0.357560178,Male,,Self feeding,DMR03158 - BMI: 0.357560 (Male),Dual,GP 2,
DMR03170,APS60073,60073,"6-Aug, 2025",Warriors Mark Farmhouse,47.09,15.9,27.5,0.583988108,Female,,Self feeding,DMR03170 - BMI: 0.583988 (Female),NoCo,GP 1,
DMR03174,APS60148,60148,"6-Aug, 2025",Warriors Mark Farmhouse,47.71,15.4,25.5,0.534479145,Female,,Deceased,DMR03174 - BMI: 0.534479 (Female),NoCo,GP 1,
DMR03190,APS36067,36067,"19-Aug, 2025",Old Danville Highway Barn,45.57,15,14.4,0.315997367,Male,,Deceased,DMR03190 - BMI: 0.315997 (Male),NoCo,GP 1,
DMR03195,APS60081,60081,"19-Aug, 2025",Old Danville Highway Barn,45.02,15,19.3,0.428698356,Male,,Self feeding,DMR03195 - BMI: 0.428698 (Male),NoCo,GP 1,
DMR03159,APS36007,36007,"6-Aug, 2025",Warriors Mark Farmhouse,44.94,13.6,22.8,0.507343124,Female,,Self feeding,DMR03159 - BMI: 0.507343 (Female),Dual,GP 2,
DMR03161,APS60125,60125,"6-Aug, 2025",Warriors Mark Farmhouse,46.58,17.5,33.4,0.717045943,Female,,Self feeding,DMR03161 - BMI: 0.717046 (Female),Secondary,GP 2,
